Class,Precision,Recall,F1-Score,Specificity,seed
Q,0.9812353401094606,0.7114512471655329,0.8248439040420638,0.9988110571683345,36
S,0.0,0.0,0.0,1.0,36
V,0.6284403669724771,0.0958041958041958,0.1662621359223301,0.9960526315789474,36
N,0.9266189483176464,0.9025581906016689,0.9144303234238994,0.6513122656668452,37
Q,0.9974811083123426,0.4489795918367347,0.619233776387803,0.9999009214306945,37
S,0.2416452442159383,0.17407407407407408,0.2023681377825619,0.9862213918729565,37
V,0.40343915343915343,0.8531468531468531,0.5478221823080377,0.9120857699805068,37
N,0.9038701622971286,0.9936319718928415,0.9466279647498758,0.48446705945366897,38
Q,1.0,0.7256235827664399,0.8409986859395532,1.0,38
S,0.0,0.0,0.0,0.9999065857076133,38
V,0.7542768273716952,0.33916083916083917,0.46792088760250844,0.9923001949317739,38
N,0.9115974842767296,0.9946201141853316,0.9513008322175842,0.5294590251740761,39
Q,0.9933579335793358,0.7630385487528345,0.863097146521321,0.9995541464381255,39
S,0.34108527131782945,0.08148148148148149,0.13153961136023917,0.9960298925735638,39
V,0.8240270727580372,0.34055944055944054,0.48193963384463134,0.9949317738791423,39
